dataset,taxa,sites,windows,taxa_sites,estimate_seconds,estimate_minutes,estimate_hours,low_seconds,high_seconds
10219_NT_AL,131,624,3,81744,460.3348162710462,7.67224693785077,0.12787078229751284,429.1319265461914,552.0321747017647
1021_NT_AL,158,1029,5,162582,915.5675658027407,15.259459430045677,0.25432432383409465,853.5076199076738,1097.9459657878535
10223_NT_AL,158,1110,5,175380,987.6384820612653,16.460641367687757,0.2743440227947959,920.6933509208143,1184.3731992463727
10225_NT_AL,154,1902,8,292908,1649.4880402759786,27.491467337932978,0.4581911222988829,1537.680739146504,1978.0612672189334
102288414_NT_AL,127,393,2,49911,281.06981570395607,4.684496928399268,0.07807494880665446,262.0180513046457,337.05810666886595
10228_NT_AL,161,765,3,123165,693.5938741194877,11.559897901991462,0.19266496503319103,646.5799781398226,831.7557594091658
10229_NT_AL,160,687,3,109920,619.0057130127398,10.316761883545663,0.1719460313924277,577.047628767339,742.3098532396014
1022_NT_AL,158,1044,5,164952,928.9140317765415,15.481900529609025,0.25803167549348377,865.9494219471443,1113.9510090209128
10231_NT_AL,159,798,4,126882,714.5258631594108,11.90876438599018,0.1984794064331697,666.0931334903339,856.8573398721534
10234_NT_AL,159,1341,6,213219,1200.7257926024686,20.012096543374476,0.3335349423895746,1119.336957406689,1439.9068831686186
10236_NT_AL,160,1926,8,308160,1735.3784618086415,28.92297436347736,0.4820495727246226,1617.7492474612734,2081.0608112656073
10240_NT_AL,154,1203,5,185262,1043.288176893797,17.388136281563284,0.2898022713593881,972.5709406904544,1251.1081516637103
10241_NT_AL,156,1824,8,284544,1602.38684137097,26.70644735618283,0.4451074559363805,1493.7722023287272,1921.5776462901122
10242_NT_AL,158,708,3,111864,629.9531939634018,10.49921989939003,0.17498699832316716,587.2530562630059,755.4380406003891
10243_NT_AL,152,2418,10,367536,2069.7496701041696,34.49582783506949,0.5749304639178249,1929.4557613412728,2482.037793124728
10244_NT_AL,160,1134,5,181440,1021.7648887284524,17.029414812140875,0.2838235802023479,952.5065662622451,1225.2974870068529
10245_NT_AL,158,534,3,84372,475.13418866731143,7.91890314445519,0.13198171907425318,442.9281526051485,569.7795390969036
10246_NT_AL,130,1452,6,188760,1062.9868849006982,17.716448081678305,0.29527413469463837,990.9344105360526,1274.7307850937696
1024_NT_AL,154,1416,6,218064,1228.010023675492,20.466833727924868,0.34111389546541443,1144.7717805633279,1472.6260538286065
10250_NT_AL,154,2817,12,433818,2443.0114665917094,40.71685777652849,0.6786142962754749,2277.4167414172985,2929.6522553920795
10251_NT_AL,155,879,4,136245,767.2528508862875,12.78754751477146,0.21312579191285766,715.246126104495,920.0873904169349
