dataset,taxa,sites,windows,taxa_sites,cpu_seconds,gpu_seconds
10069_NT_AL,157,879,4,138003,888.8367347352903,777.152887671917
10073_NT_AL,157,1098,5,172386,1110.287525300738,970.7780098563878
10075_NT_AL,155,13410,53,2078550,13387.329224611332,11705.1885442379
10078_NT_AL,145,1098,5,159210,1025.4247845134205,896.5784167463454
1007_NT_AL,150,2376,10,356400,2295.4675786733437,2007.0381742880315
10081_NT_AL,145,1542,7,223590,1440.077429617208,1259.1292519333922
100820829_NT_AL,142,1437,6,204054,1314.2517993788172,1149.1138260835298
10082_NT_AL,152,1683,7,255816,1647.635617581089,1440.6074006556316
10083_NT_AL,161,2622,11,422142,2718.892465197314,2377.2590038448325
10084_NT_AL,160,1389,6,222240,1431.3824766676878,1251.5268346065436
10085_NT_AL,156,1446,6,225576,1452.8686715118356,1270.3132525342228
100861412_NT_AL,147,927,4,136269,877.6685507245732,767.3880049720982
10086_NT_AL,160,1668,7,266880,1718.8955875318236,1502.9134342143375
100874261_NT_AL,11,549,3,6039,38.89542286085388,34.00814684210276
10087_NT_AL,158,1884,8,297672,1917.2178032515476,1676.316126309391
100885848_NT_AL,131,474,2,62094,399.9291914425999,349.67740851358315
1008_NT_AL,89,2373,10,211197,1360.2577615406121,1189.3390608729221
10090_NT_AL,154,1296,6,199584,1285.4618440570725,1123.9413776012977
10092_NT_AL,155,462,2,71610,461.2189486778848,403.2660035375026
10094_NT_AL,157,537,3,84309,543.0094727563719,474.7794091920585
10096_NT_AL,152,1464,6,222528,1433.2373999635854,1253.1486836362712
10098_NT_AL,158,804,4,127032,818.1757504321891,715.3705761957274
100996521_NT_AL,30,165,1,4950,31.881494148240886,27.875530198444885
100996939_NT_AL,141,360,2,50760,326.93023090196107,285.85089148950755
10099_NT_AL,154,768,3,118272,761.7551668486356,666.0393348748431
1009_NT_AL,150,2388,10,358200,2307.060849272704,2017.1747307238297
10100_NT_AL,158,696,3,109968,708.2715451502532,619.276021184361
10102_NT_AL,152,996,4,151392,975.0713458768655,852.5519732935288
10109_NT_AL,161,900,4,144900,933.2582832485059,815.9927930817503
1010_NT_AL,137,2391,10,327567,2109.762705789257,1844.6674344472717
10112_NT_AL,161,2763,11,444843,2865.102929572913,2505.0978747609734
10113_NT_AL,158,1290,6,203820,1312.7446742009004,1147.796073746876
10116_NT_AL,159,1893,8,300987,1938.5687432720363,1694.984284411986
10117_NT_AL,158,3738,15,590604,3803.9066605914463,3325.93932067118
10124_NT_AL,157,600,3,94200,606.7144946998568,530.4797868067693
10125_NT_AL,161,2409,10,387849,2498.021338161834,2184.1407094821516
10127_NT_AL,156,2073,9,323388,2082.8469958810756,1821.1337292554938
10128_NT_AL,158,4230,17,668340,4304.581373542487,3763.7034046118492
10129_NT_AL,156,9048,36,1411488,9090.97907319439,7948.6820946954695
1012_NT_AL,154,2124,9,327096,2106.7291333157577,1842.015035513238
10130_NT_AL,159,1329,6,211311,1360.992002011905,1189.9810427805226
10133_NT_AL,159,1800,8,286200,1843.330025298291,1611.7124732919042
10135_NT_AL,156,1482,6,231192,1489.0396757818398,1301.939308613913
10137_NT_AL,48,3168,13,152064,979.39950023396,856.3362876962268
10138_NT_AL,105,612,3,64260,413.87976039716347,361.8750647579936
10140_NT_AL,160,1173,5,187680,1208.7916811599696,1056.9049510392194
101410538_NT_AL,82,297,2,24354,156.85695120934514,137.14760857634883
10142_NT_AL,156,12891,51,2010996,12952.233779017339,11324.763581202398
10143_NT_AL,162,588,3,95256,613.5158801181482,536.4265665824375
10144_NT_AL,155,3114,13,482670,3108.7355112184705,2718.117608259271
10146_NT_AL,149,1425,6,212325,1367.522877782878,1195.6913029060222
10147_NT_AL,157,3537,14,555309,3576.581946255656,3127.178343225905
10149_NT_AL,156,3141,13,489996,3155.9201225578668,2759.3733929529694
